         t           |          x           |          y           |        x-real        |        y-real        |       x-error        |       y-error        | 
           0,0510000 |           -0,0523019 |              1,05105 |           -0,0510221 |              1,05228 |          -0,00127980 |          -0,00122599 | 
           0,0520000 |           -0,0533535 |              1,05205 |           -0,0520234 |              1,05333 |          -0,00133002 |          -0,00127511 | 
           0,0530000 |           -0,0544060 |              1,05305 |           -0,0530248 |              1,05438 |          -0,00138120 |          -0,00132518 | 
           0,0540000 |           -0,0554596 |              1,05406 |           -0,0540262 |              1,05543 |          -0,00143333 |          -0,00137620 | 
           0,0550000 |           -0,0565141 |              1,05506 |           -0,0550277 |              1,05649 |          -0,00148640 |          -0,00142815 | 
           0,0560000 |           -0,0575697 |              1,05606 |           -0,0560293 |              1,05754 |          -0,00154042 |          -0,00148106 | 
           0,0570000 |           -0,0586263 |              1,05706 |           -0,0570309 |              1,05859 |          -0,00159538 |          -0,00153490 | 
           0,0580000 |           -0,0596838 |              1,05806 |           -0,0580325 |              1,05965 |          -0,00165129 |          -0,00158969 | 
           0,0590000 |           -0,0607424 |              1,05906 |           -0,0590342 |              1,06071 |          -0,00170814 |          -0,00164542 | 
           0,0600000 |           -0,0618019 |              1,06006 |           -0,0600360 |              1,06176 |          -0,00176593 |          -0,00170209 | 
           0,0610000 |           -0,0628625 |              1,06106 |           -0,0610378 |              1,06282 |          -0,00182467 |          -0,00175969 | 
           0,0620000 |           -0,0639241 |              1,06206 |           -0,0620397 |              1,06388 |          -0,00188434 |          -0,00181824 | 
           0,0630000 |           -0,0649866 |              1,06307 |           -0,0630417 |              1,06494 |          -0,00194495 |          -0,00187772 | 
           0,0640000 |           -0,0660502 |              1,06407 |           -0,0640437 |              1,06601 |          -0,00200650 |          -0,00193814 | 
           0,0650000 |           -0,0671148 |              1,06507 |           -0,0650458 |              1,06707 |          -0,00206899 |          -0,00199949 | 
           0,0660000 |           -0,0681803 |              1,06607 |           -0,0660479 |              1,06813 |          -0,00213242 |          -0,00206178 | 
           0,0670000 |           -0,0692469 |              1,06707 |           -0,0670501 |              1,06920 |          -0,00219678 |          -0,00212500 | 
           0,0680000 |           -0,0703145 |              1,06807 |           -0,0680524 |              1,07026 |          -0,00226207 |          -0,00218915 | 
           0,0690000 |           -0,0713831 |              1,06907 |           -0,0690548 |              1,07133 |          -0,00232830 |          -0,00225424 | 
           0,0700000 |           -0,0724526 |              1,07007 |           -0,0700572 |              1,07239 |          -0,00239545 |          -0,00232025 | 
           0,0710000 |           -0,0735232 |              1,07107 |           -0,0710597 |              1,07346 |          -0,00246354 |          -0,00238719 | 
           0,0720000 |           -0,0745948 |              1,07208 |           -0,0720622 |              1,07453 |          -0,00253256 |          -0,00245506 | 
           0,0730000 |           -0,0756674 |              1,07308 |           -0,0730649 |              1,07560 |          -0,00260251 |          -0,00252386 | 
           0,0740000 |           -0,0767409 |              1,07408 |           -0,0740676 |              1,07667 |          -0,00267339 |          -0,00259358 | 
           0,0750000 |           -0,0778155 |              1,07508 |           -0,0750703 |              1,07774 |          -0,00274519 |          -0,00266423 | 
           0,0760000 |           -0,0788911 |              1,07608 |           -0,0760732 |              1,07882 |          -0,00281792 |          -0,00273580 | 
           0,0770000 |           -0,0799677 |              1,07708 |           -0,0770761 |              1,07989 |          -0,00289158 |          -0,00280830 | 
           0,0780000 |           -0,0810453 |              1,07808 |           -0,0780791 |              1,08096 |          -0,00296616 |          -0,00288172 | 
           0,0790000 |           -0,0821239 |              1,07908 |           -0,0790822 |              1,08204 |          -0,00304166 |          -0,00295605 | 
           0,0800000 |           -0,0832034 |              1,08009 |           -0,0800854 |              1,08312 |          -0,00311808 |          -0,00303131 | 
           0,0810000 |           -0,0842840 |              1,08109 |           -0,0810886 |              1,08419 |          -0,00319543 |          -0,00310749 | 
           0,0820000 |           -0,0853656 |              1,08209 |           -0,0820919 |              1,08527 |          -0,00327369 |          -0,00318459 | 
           0,0830000 |           -0,0864482 |              1,08309 |           -0,0830953 |              1,08635 |          -0,00335288 |          -0,00326260 | 
           0,0840000 |           -0,0875318 |              1,08409 |           -0,0840988 |              1,08743 |          -0,00343298 |          -0,00334153 | 
           0,0850000 |           -0,0886164 |              1,08509 |           -0,0851024 |              1,08851 |          -0,00351400 |          -0,00342137 | 
