"n";"real";"value";"e"
821;"-18,000000000000004";"-17,96380102170782";"-0,03619897829218388"
831;"-18,000000000000004";"-17,96423410461828";"-0,035765895381722146"
841;"-18,000000000000004";"-17,96465694793081";"-0,035343052069194414"
851;"-18,000000000000004";"-17,96506991052985";"-0,03493008947015497"
861;"-18,000000000000004";"-17,965473334722947";"-0,03452666527705617"
871;"-18,000000000000004";"-17,9658675471878";"-0,034132452812205116"
881;"-18,000000000000004";"-17,96625285985317";"-0,03374714014683278"
891;"-18,000000000000004";"-17,966629570722628";"-0,03337042927737599"
901;"-18,000000000000004";"-17,966997964642694";"-0,03300203535730972"
911;"-18,000000000000004";"-17,967358314021155";"-0,032641685978848756"
921;"-18,000000000000004";"-17,967710879498462";"-0,032289120501541646"
931;"-18,000000000000004";"-17,968055910576396";"-0,03194408942360738"
941;"-18,000000000000004";"-17,968393646206927";"-0,031606353793076636"
951;"-18,000000000000004";"-17,968724315343756";"-0,031275684656247194"
961;"-18,000000000000004";"-17,96904813745975";"-0,030951862540252506"
971;"-18,000000000000004";"-17,969365323033013";"-0,03063467696699007"
981;"-18,000000000000004";"-17,96967607400233";"-0,030323925997674195"
991;"-18,000000000000004";"-17,9699805841968";"-0,030019415803202776"
